fen,action,score,result
w2bb3/3b1w2/3w4/2b1w1bw/wb2b3/wb2b3/5wwb/8 w,"(5, 5)",0
w2bb3/3b1w2/3w4/2b1w1bw/wb2b3/wb2b3/5wwb/8 b,"(4, 6)",0
w2bb3/3b1w2/3w4/2bbw1bw/wb2b3/wb1wb3/5wwb/8 w,"(4, 4)",0
w2bb3/3b1w2/3w4/2bbw1bw/wb2b3/wb1wb3/5wwb/8 b,"(5, 3)",0
w2bb3/3b1w2/3ww3/2bbw1bw/wb1bb3/wb1wb3/5wwb/8 w,"(4, 5)",50
w2bb3/3b1w2/3ww3/2bbw1bw/wb1bb3/wb1wb3/5wwb/8 b,"(2, 3)",-50
w2bb3/3b1w2/1wbww3/2bbw1bw/wb1bb3/wb1wb3/5wwb/8 w,"(3, 3)",50
w2bb3/3b1w2/1wbww3/2bbw1bw/wb1bb3/wb1wb3/5wwb/8 b,"(2, 2)",50
w2bb3/1w1b1w2/1wbww3/1bbbw1bw/wb1bb3/wb1wb3/5wwb/8 w,"(2, 4)",100,1
2b1b3/wb1w3w/2wwb1bb/b2w2w1/wb2w2b/b1b1w1w1/1b1w2b1/5bw1 w,"(2, 2)",50
2b1b3/wb1w3w/2wwb1bb/b2w2w1/wb2w2b/b1b1w1w1/1b1w2b1/5bw1 b,"(2, 4)",-100,-1
bb1wwbb1/b4wb1/bb6/1wb5/w1bbwww1/3w2w1/1w2b3/5b1w w,"(1, 2)",100,1
8/8/8/b1w5/3bw3/1bw1b3/8/8 b,"(4, 3)",0
8/8/3wb3/b1w5/3bw3/1bw1b3/8/8 w,"(5, 3)",0
8/8/3wb3/b1w5/3bw3/1bw1b3/8/8 b,"(6, 4)",0
8/8/3wb3/b1wb1w2/3bw3/1bw1b3/8/8 w,"(4, 4)",50
8/8/3wb3/b1wb1w2/3bw3/1bw1b3/8/8 b,"(3, 5)",-50
8/8/2bwb3/b1wb1w2/2wbw3/1bw1b3/8/8 w,"(3, 3)",-50
8/8/2bwb3/b1wb1w2/2wbw3/1bw1b3/8/8 b,"(3, 7)",-100,-1
1w5w/8/8/1wbb3b/8/b7/8/8 w,"(3, 4)",0
1w5w/8/8/1wbb3b/8/b7/8/8 b,"(4, 5)",0
1w5w/8/8/1wbbb2b/3w4/b7/8/8 w,"(5, 4)",50
1w5w/8/8/1wbbb2b/3w4/b7/8/8 b,"(4, 3)",50
1w5w/8/3w4/1wbbbb1b/3w4/b7/8/8 w,"(6, 4)",100,1
w7/5w2/4w3/3b4/1b4b1/8/5b2/8 b,"(3, 4)",0
w7/5w2/4w3/2wb4/1b1b2b1/8/5b2/8 w,"(4, 5)",0
w7/5w2/4w3/2wb4/1b1b2b1/8/5b2/8 b,"(5, 4)",0
w7/5w2/4w3/2wbw3/1b1bb1b1/8/5b2/8 w,"(5, 5)",50
w7/5w2/4w3/2wbw3/1b1bb1b1/8/5b2/8 b,"(3, 5)",50
w7/5w2/4w3/2wbw3/1bwbbbb1/8/5b2/8 w,"(6, 5)",100,1
2b3b1/2bw1w2/2bww1b1/2b4w/b2w3w/w2w2bb/1w2b2w/1bb2w1b w,"(3, 1)",100,1
4b3/8/8/6b1/1b1w4/w7/7b/1w6 b,"(3, 5)",0
4b3/8/8/3b2b1/1bww4/w7/7b/1w6 w,"(4, 4)",0
4b3/8/8/3b2b1/1bww4/w7/7b/1w6 b,"(5, 5)",-50
4b3/8/8/2bb2b1/1bwww3/w7/7b/1w6 w,"(3, 4)",-50
4b3/8/8/2bb2b1/1bwww3/w7/7b/1w6 b,"(6, 5)",-100,-1
